cc,cct1,:4053.000000
cc,cct2,:4053.000000
cc,mc,:328488.000000
cc,mi,:305934.000000
cc,mk,:6094315.000000
cc,ml,:47888.000000
cc,t,:101671.000000
cn,mc,:279135.000000
ct,mc,:37840.000000
k,mk,:34.000000
lt,ml,:150.000000
mc,mi,:2046177.000000
mc,mk,:11000821.000000
mc,ml,:72944.000000
mc,t,:949337.000000
mi,mk,:10245444.000000
mi,ml,:67913.000000
mi,t,:633318.000000
mk,ml,:1352182.000000
mk,t,:3404897.000000
ml,t,:22577.000000
cc,cct1,cct2,:2578.000000
cc,cct1,mc,:208982.000000
cc,cct1,mi,:194633.000000
cc,cct1,mk,:3877171.000000
cc,cct1,ml,:30466.000000
cc,cct1,t,:64683.000000
cc,cct2,mc,:328488.000000
cc,cct2,mi,:305934.000000
cc,cct2,mk,:6094315.000000
cc,cct2,ml,:47888.000000
cc,cct2,t,:101671.000000
cc,cn,mc,:35265.000000
cc,ct,mc,:4781.000000
cc,mc,mi,:258510.000000
cc,mc,mk,:1389820.000000
cc,mc,ml,:9216.000000
cc,mc,t,:119937.000000
cc,mi,mk,:1488440.000000
cc,mi,ml,:9866.000000
cc,mi,t,:92007.000000
cc,k,mk,:16.000000
cc,mk,ml,:649012.000000
cc,mk,t,:1634261.000000
cc,lt,ml,:24.000000
cc,ml,t,:3650.000000
cn,ct,mc,:7699.000000
cn,mc,mi,:416315.000000
cn,mc,mk,:2238225.000000
cn,mc,ml,:14841.000000
cn,mc,t,:193152.000000
ct,mc,mi,:1936820.000000
ct,mc,mk,:10412885.000000
ct,mc,ml,:69045.000000
ct,mc,t,:898600.000000
k,mc,mk,:25640.000000
k,mi,mk,:23879.000000
k,mk,ml,:3152.000000
k,mk,t,:7936.000000
lt,mc,ml,:5629.000000
lt,mi,ml,:5241.000000
lt,mk,ml,:104354.000000
lt,ml,t,:1742.000000
mc,mi,mk,:7365301.000000
mc,mi,ml,:48837.000000
mc,mi,t,:635603.000000
mc,mk,ml,:2008345.000000
mc,mk,t,:5057163.000000
mc,ml,t,:32383.000000
mi,mk,ml,:1313605.000000
mi,mk,t,:3307757.000000
mi,ml,t,:17193.000000
mk,ml,t,:216905.000000
cc,lt,mi,ml,t,:455.000000
cc,k,lt,mk,ml,:1.000000
cc,k,mk,ml,t,:90.000000
cc,lt,mk,ml,t,:2658.000000
cn,ct,mc,mi,mk,:1466038.000000
cn,ct,mc,mi,ml,:9721.000000
cn,ct,mc,mi,t,:126515.000000
cn,ct,k,mc,mk,:11.000000
cn,ct,mc,mk,ml,:434250.000000
cn,ct,mc,mk,t,:1093475.000000
cn,ct,lt,mc,ml,:15.000000
cn,ct,mc,ml,t,:2302.000000
cn,k,mc,mi,mk,:13.000000
cn,mc,mi,mk,ml,:526927.000000
cn,mc,mi,mk,t,:1326843.000000
cn,lt,mc,mi,ml,:35.000000
cn,mc,mi,ml,t,:5272.000000
cn,k,mc,mk,ml,:1004.000000
cn,k,mc,mk,t,:2528.000000
cn,lt,mc,mk,ml,:264.000000
cn,mc,mk,ml,t,:39759.000000
cn,lt,mc,ml,t,:1025.000000
ct,k,mc,mi,mk,:47.000000
ct,mc,mi,mk,ml,:1870756.000000
ct,mc,mi,mk,t,:4710705.000000
ct,lt,mc,mi,ml,:203.000000
ct,mc,mi,ml,t,:30519.000000
ct,k,mc,mk,ml,:3561.000000
ct,k,mc,mk,t,:8968.000000
ct,lt,mc,mk,ml,:3052.000000
ct,mc,mk,ml,t,:459338.000000
ct,lt,mc,ml,t,:3306.000000
k,mc,mi,mk,ml,:3823.000000
k,mc,mi,mk,t,:9628.000000
k,lt,mc,mk,ml,:6.000000
k,mc,mk,ml,t,:883.000000
k,lt,mi,mk,ml,:4.000000
k,mi,mk,ml,t,:606.000000
k,lt,mk,ml,t,:150.000000
lt,mc,mi,mk,ml,:536464.000000
lt,mc,mi,ml,t,:8957.000000
lt,mc,mk,ml,t,:40650.000000
lt,mi,mk,ml,t,:22463.000000
mc,mi,mk,ml,t,:688267.000000
cc,cct1,cct2,cn,ct,mc,:760.000000
cc,cct1,cct2,cn,mc,mi,:41075.000000
cc,cct1,cct2,cn,mc,mk,:220829.000000
cc,cct1,cct2,cn,mc,ml,:1464.000000
cc,cct1,cct2,cn,mc,t,:19057.000000
cc,cct1,cct2,ct,mc,mi,:153855.000000
cc,cct1,cct2,ct,mc,mk,:827168.000000
cc,cct1,cct2,ct,mc,ml,:5485.000000
cc,cct1,cct2,ct,mc,t,:71382.000000
cc,cct1,cct2,mc,mi,mk,:930056.000000
cc,cct1,cct2,mc,mi,ml,:6167.000000
cc,cct1,cct2,mc,mi,t,:80261.000000
cc,cct1,cct2,k,mc,mk,:19.000000
cc,cct1,cct2,mc,mk,ml,:760464.000000
cc,cct1,cct2,mc,mk,t,:1914906.000000
cc,cct1,cct2,lt,mc,ml,:34.000000
cc,cct1,cct2,mc,ml,t,:5150.000000
cc,cct1,cct2,k,mi,mk,:15.000000
cc,cct1,cct2,mi,mk,ml,:587446.000000
cc,cct1,cct2,mi,mk,t,:1479234.000000
cc,cct1,cct2,lt,mi,ml,:21.000000
cc,cct1,cct2,mi,ml,t,:3213.000000
cc,cct1,cct2,k,mk,ml,:665.000000
cc,cct1,cct2,k,mk,t,:1675.000000
cc,cct1,cct2,lt,mk,ml,:445.000000
cc,cct1,cct2,mk,ml,t,:66923.000000
cc,cct1,cct2,lt,ml,t,:172.000000
cc,cct1,cn,ct,mc,mi,:36369.000000
cc,cct1,cn,ct,mc,mk,:195528.000000
cc,cct1,cn,ct,mc,ml,:1296.000000
cc,cct1,cn,ct,mc,t,:16873.000000
cc,cct1,cn,mc,mi,mk,:216966.000000
cc,cct1,cn,mc,mi,ml,:1439.000000
cc,cct1,cn,mc,mi,t,:18723.000000
cc,cct1,cn,k,mc,mk,:5.000000
cc,cct1,cn,mc,mk,ml,:202165.000000
cc,cct1,cn,mc,mk,t,:509066.000000
cc,cct1,cn,lt,mc,ml,:4.000000
cc,cct1,cn,mc,ml,t,:656.000000
cc,cct1,ct,mc,mi,mk,:827909.000000
cc,cct1,ct,mc,mi,ml,:5490.000000
cc,cct1,ct,mc,mi,t,:71446.000000
cc,cct1,ct,k,mc,mk,:17.000000
cc,cct1,ct,mc,mk,ml,:661920.000000
cc,cct1,ct,mc,mk,t,:1666764.000000
cc,cct1,ct,lt,mc,ml,:28.000000
cc,cct1,ct,mc,ml,t,:4283.000000
cc,cct1,k,mc,mi,mk,:26.000000
cc,cct1,mc,mi,mk,ml,:1028034.000000
cc,cct1,mc,mi,mk,t,:2588668.000000
cc,cct1,lt,mc,mi,ml,:47.000000
cc,cct1,mc,mi,ml,t,:7058.000000
cc,cct1,k,mc,mk,ml,:1140.000000
cc,cct1,k,mc,mk,t,:2871.000000
cc,cct1,lt,mc,mk,ml,:904.000000
cc,cct1,mc,mk,ml,t,:136037.000000
cc,cct1,lt,mc,ml,t,:650.000000
cc,cct1,k,mi,mk,ml,:895.000000
cc,cct1,k,mi,mk,t,:2254.000000
cc,cct1,lt,mi,mk,ml,:533.000000
cc,cct1,mi,mk,ml,t,:80282.000000
cc,cct1,lt,mi,ml,t,:376.000000
cc,cct1,k,lt,mk,ml,:1.000000
cc,cct1,k,mk,ml,t,:74.000000
cc,cct1,lt,mk,ml,t,:2432.000000
cc,cct2,cn,ct,mc,mi,:51441.000000
cc,cct2,cn,ct,mc,mk,:276560.000000
cc,cct2,cn,ct,mc,ml,:1834.000000
cc,cct2,cn,ct,mc,t,:23866.000000
cc,cct2,cn,mc,mi,mk,:314961.000000
cc,cct2,cn,mc,mi,ml,:2088.000000
cc,cct2,cn,mc,mi,t,:27180.000000
cc,cct2,cn,k,mc,mk,:7.000000
cc,cct2,cn,mc,mk,ml,:275443.000000
cc,cct2,cn,mc,mk,t,:693585.000000
cc,cct2,cn,lt,mc,ml,:5.000000
cc,cct2,cn,mc,ml,t,:805.000000
cc,cct2,ct,mc,mi,mk,:1265852.000000
cc,cct2,ct,mc,mi,ml,:8394.000000
cc,cct2,ct,mc,mi,t,:109239.000000
cc,cct2,ct,k,mc,mk,:23.000000
cc,cct2,ct,mc,mk,ml,:920393.000000
cc,cct2,ct,mc,mk,t,:2317619.000000
cc,cct2,ct,lt,mc,ml,:42.000000
cc,cct2,ct,mc,ml,t,:6339.000000
cc,cct2,k,mc,mi,mk,:37.000000
cc,cct2,mc,mi,mk,ml,:1464947.000000
cc,cct2,mc,mi,mk,t,:3688846.000000
cc,cct2,lt,mc,mi,ml,:68.000000
cc,cct2,mc,mi,ml,t,:10205.000000
cc,cct2,k,mc,mk,ml,:1609.000000
cc,cct2,k,mc,mk,t,:4051.000000
cc,cct2,lt,mc,mk,ml,:1196.000000
cc,cct2,mc,mk,ml,t,:180048.000000
cc,cct2,lt,mc,ml,t,:785.000000
cc,cct2,k,mi,mk,ml,:1349.000000
cc,cct2,k,mi,mk,t,:3397.000000
cc,cct2,lt,mi,mk,ml,:599.000000
cc,cct2,mi,mk,ml,t,:90211.000000
cc,cct2,lt,mi,ml,t,:455.000000
cc,cct2,k,lt,mk,ml,:1.000000
cc,cct2,k,mk,ml,t,:90.000000
cc,cct2,lt,mk,ml,t,:2658.000000
cc,cn,ct,mc,mi,mk,:281723.000000
cc,cn,ct,mc,mi,ml,:1868.000000
cc,cn,ct,mc,mi,t,:24312.000000
cc,cn,ct,k,mc,mk,:6.000000
cc,cn,ct,mc,mk,ml,:242072.000000
cc,cn,ct,mc,mk,t,:609555.000000
cc,cn,ct,lt,mc,ml,:5.000000
cc,cn,ct,mc,ml,t,:689.000000
cc,cn,k,mc,mi,mk,:9.000000
cc,cn,mc,mi,mk,ml,:380510.000000
cc,cn,mc,mi,mk,t,:958154.000000
cc,cn,lt,mc,mi,ml,:14.000000
cc,cn,mc,mi,ml,t,:2084.000000
cc,cn,k,mc,mk,ml,:408.000000
cc,cn,k,mc,mk,t,:1028.000000
cc,cn,lt,mc,mk,ml,:124.000000
cc,cn,mc,mk,ml,t,:18611.000000
cc,cn,lt,mc,ml,t,:357.000000
cc,ct,k,mc,mi,mk,:32.000000
cc,ct,mc,mi,mk,ml,:1268526.000000
cc,ct,mc,mi,mk,t,:3194245.000000
cc,ct,lt,mc,mi,ml,:57.000000
cc,ct,mc,mi,ml,t,:8576.000000
cc,ct,k,mc,mk,ml,:1376.000000
cc,ct,k,mc,mk,t,:3466.000000
cc,ct,lt,mc,mk,ml,:1033.000000
cc,ct,mc,mk,ml,t,:155545.000000
cc,ct,lt,mc,ml,t,:703.000000
cc,k,mc,mi,mk,ml,:2270.000000
cc,k,mc,mi,mk,t,:5717.000000
cc,lt,mc,mi,mk,ml,:1381.000000
cc,mc,mi,mk,ml,t,:207819.000000
cc,lt,mc,mi,ml,t,:2934.000000
cc,k,lt,mc,mk,ml,:3.000000
cc,k,mc,mk,ml,t,:481.000000
cc,lt,mc,mk,ml,t,:9573.000000
cc,k,lt,mi,mk,ml,:2.000000
cc,k,mi,mk,ml,t,:275.000000
cc,lt,mi,mk,ml,t,:6051.000000
cc,k,lt,mk,ml,t,:74.000000
cn,ct,k,mc,mi,mk,:12.000000
cn,ct,mc,mi,mk,ml,:475705.000000
cn,ct,mc,mi,mk,t,:1197861.000000
cn,ct,lt,mc,mi,ml,:33.000000
cn,ct,mc,mi,ml,t,:5002.000000
cn,ct,k,mc,mk,ml,:845.000000
cn,ct,k,mc,mk,t,:2127.000000
cn,ct,lt,mc,mk,ml,:220.000000
cn,ct,mc,mk,ml,t,:33162.000000
cn,ct,lt,mc,ml,t,:989.000000
cn,k,mc,mi,mk,ml,:840.000000
cn,k,mc,mi,mk,t,:2116.000000
cn,lt,mc,mi,mk,ml,:431.000000
cn,mc,mi,mk,ml,t,:64878.000000
cn,lt,mc,mi,ml,t,:3706.000000
cn,k,lt,mc,mk,ml,:3.000000
cn,k,mc,mk,ml,t,:414.000000
cn,lt,mc,mk,ml,t,:8503.000000
ct,k,mc,mi,mk,ml,:3242.000000
ct,k,mc,mi,mk,t,:8165.000000
ct,lt,mc,mi,mk,ml,:3738.000000
ct,mc,mi,mk,ml,t,:562623.000000
ct,lt,mc,mi,ml,t,:8006.000000
ct,k,lt,mc,mk,ml,:5.000000
ct,k,mc,mk,ml,t,:792.000000
ct,lt,mc,mk,ml,t,:34027.000000
k,lt,mc,mi,mk,ml,:24.000000
k,mc,mi,mk,ml,t,:3590.000000
k,lt,mc,mk,ml,t,:768.000000
k,lt,mi,mk,ml,t,:561.000000
lt,mc,mi,mk,ml,t,:84556.000000
cc,cct1,cct2,cn,ct,mc,mi,:36369.000000
cc,cct1,cct2,cn,ct,mc,mk,:195528.000000
cc,cct1,cct2,cn,ct,mc,ml,:1296.000000
cc,cct1,cct2,cn,ct,mc,t,:16873.000000
cc,cct1,cct2,cn,mc,mi,mk,:216966.000000
cc,cct1,cct2,cn,mc,mi,ml,:1439.000000
cc,cct1,cct2,cn,mc,mi,t,:18723.000000
cc,cct1,cct2,cn,k,mc,mk,:5.000000
cc,cct1,cct2,cn,mc,mk,ml,:202165.000000
cc,cct1,cct2,cn,mc,mk,t,:509066.000000
cc,cct1,cct2,cn,lt,mc,ml,:4.000000
cc,cct1,cct2,cn,mc,ml,t,:656.000000
cc,cct1,cct2,ct,mc,mi,mk,:827909.000000
cc,cct1,cct2,ct,mc,mi,ml,:5490.000000
cc,cct1,cct2,ct,mc,mi,t,:71446.000000
cc,cct1,cct2,ct,k,mc,mk,:17.000000
cc,cct1,cct2,ct,mc,mk,ml,:661920.000000
cc,cct1,cct2,ct,mc,mk,t,:1666764.000000
cc,cct1,cct2,ct,lt,mc,ml,:28.000000
cc,cct1,cct2,ct,mc,ml,t,:4283.000000
cc,cct1,cct2,k,mc,mi,mk,:26.000000
cc,cct1,cct2,mc,mi,mk,ml,:1028034.000000
cc,cct1,cct2,mc,mi,mk,t,:2588668.000000
cc,cct1,cct2,lt,mc,mi,ml,:47.000000
cc,cct1,cct2,mc,mi,ml,t,:7058.000000
cc,cct1,cct2,k,mc,mk,ml,:1140.000000
cc,cct1,cct2,k,mc,mk,t,:2871.000000
cc,cct1,cct2,lt,mc,mk,ml,:904.000000
cc,cct1,cct2,mc,mk,ml,t,:136037.000000
cc,cct1,cct2,lt,mc,ml,t,:650.000000
cc,cct1,cct2,k,mi,mk,ml,:895.000000
cc,cct1,cct2,k,mi,mk,t,:2254.000000
cc,cct1,cct2,lt,mi,mk,ml,:533.000000
cc,cct1,cct2,mi,mk,ml,t,:80282.000000
cc,cct1,cct2,lt,mi,ml,t,:376.000000
cc,cct1,cct2,k,lt,mk,ml,:1.000000
cc,cct1,cct2,k,mk,ml,t,:74.000000
cc,cct1,cct2,lt,mk,ml,t,:2432.000000
cc,cct1,cn,ct,mc,mi,mk,:194115.000000
cc,cct1,cn,ct,mc,mi,ml,:1287.000000
cc,cct1,cn,ct,mc,mi,t,:16752.000000
cc,cct1,cn,ct,k,mc,mk,:4.000000
cc,cct1,cn,ct,mc,mk,ml,:178264.000000
cc,cct1,cn,ct,mc,mk,t,:448881.000000
cc,cct1,cn,ct,lt,mc,ml,:4.000000
cc,cct1,cn,ct,mc,ml,t,:562.000000
cc,cct1,cn,k,mc,mi,mk,:7.000000
cc,cct1,cn,mc,mi,mk,ml,:271539.000000
cc,cct1,cn,mc,mi,mk,t,:683755.000000
cc,cct1,cn,lt,mc,mi,ml,:11.000000
cc,cct1,cn,mc,mi,ml,t,:1711.000000
cc,cct1,cn,k,mc,mk,ml,:280.000000
cc,cct1,cn,k,mc,mk,t,:704.000000
cc,cct1,cn,lt,mc,mk,ml,:117.000000
cc,cct1,cn,mc,mk,ml,t,:17666.000000
cc,cct1,cn,lt,mc,ml,t,:297.000000
cc,cct1,ct,k,mc,mi,mk,:22.000000
cc,cct1,ct,mc,mi,mk,ml,:891922.000000
cc,cct1,ct,mc,mi,mk,t,:2245927.000000
cc,cct1,ct,lt,mc,mi,ml,:40.000000
cc,cct1,ct,mc,mi,ml,t,:6076.000000
cc,cct1,ct,k,mc,mk,ml,:979.000000
cc,cct1,ct,k,mc,mk,t,:2466.000000
cc,cct1,ct,lt,mc,mk,ml,:820.000000
cc,cct1,ct,mc,mk,ml,t,:123483.000000
cc,cct1,ct,lt,mc,ml,t,:574.000000
cc,cct1,k,mc,mi,mk,ml,:1561.000000
cc,cct1,k,mc,mi,mk,t,:3930.000000
cc,cct1,lt,mc,mi,mk,ml,:1062.000000
cc,cct1,mc,mi,mk,ml,t,:159792.000000
cc,cct1,lt,mc,mi,ml,t,:2343.000000
cc,cct1,k,lt,mc,mk,ml,:2.000000
cc,cct1,k,mc,mk,ml,t,:365.000000
cc,cct1,lt,mc,mk,ml,t,:8217.000000
cc,cct1,k,lt,mi,mk,ml,:1.000000
cc,cct1,k,mi,mk,ml,t,:203.000000
cc,cct1,lt,mi,mk,ml,t,:5265.000000
cc,cct1,k,lt,mk,ml,t,:59.000000
cc,cct2,cn,ct,mc,mi,mk,:281723.000000
cc,cct2,cn,ct,mc,mi,ml,:1868.000000
cc,cct2,cn,ct,mc,mi,t,:24312.000000
cc,cct2,cn,ct,k,mc,mk,:6.000000
cc,cct2,cn,ct,mc,mk,ml,:242072.000000
cc,cct2,cn,ct,mc,mk,t,:609555.000000
cc,cct2,cn,ct,lt,mc,ml,:5.000000
cc,cct2,cn,ct,mc,ml,t,:689.000000
cc,cct2,cn,k,mc,mi,mk,:9.000000
